Date: Day.Month.Year;Power Generation [kWh];Tavg;Tmin;Tmax;Hum;VPD;Prec;Pbin;Wspd;Wmax;Wdir;Cld;Sol;Sun;Pres;Vis;Soil
19.10.23;1,40000;7,51250;6,80000;8,40000;87,08333;0,13579;6,30000;1,00000;6,33333;7,20000;92,08904;7,62500;154,00000;0,00000;997,01667;17990,00000;7,50000
20.10.23;0,70000;6,33750;5,60000;7,30000;92,75000;0,06945;24,70000;1,00000;8,34167;10,80000;86,20187;7,83333;87,00000;0,00000;989,27500;9527,50000;6,90000
21.10.23;3,70000;8,43750;5,70000;12,00000;97,20833;0,03264;5,70000;1,00000;3,40000;5,70000;123,57202;5,16667;269,00000;1,30000;993,83333;13907,50000;8,30000
22.10.23;6,10000;10,35833;8,30000;13,50000;87,16667;0,16882;0,00000;1,00000;4,15417;7,20000;192,53566;4,83333;338,00000;1,70000;1003,84167;51410,83333;8,70000
23.10.23;13,60000;9,00833;5,00000;13,90000;88,75000;0,15561;0,00000;0,00000;2,21667;3,00000;205,50409;4,91667;874,00000;7,80000;1011,34167;31910,00000;8,90000
24.10.23;1,70000;10,86667;8,50000;12,50000;94,20833;0,07557;0,90000;1,00000;3,51250;5,10000;128,23920;7,45833;162,00000;0,00000;1002,42083;18161,25000;10,00000
25.10.23;12,80000;9,75000;6,40000;14,00000;91,45833;0,11973;0,00000;1,00000;3,33333;4,90000;123,37732;5,04167;724,00000;5,90000;997,86667;17523,33333;9,30000
26.10.23;2,70000;10,02083;9,00000;11,40000;88,91667;0,14005;0,00000;1,00000;3,34167;4,90000;55,89705;7,87500;287,00000;0,10000;994,34583;40969,16667;9,90000
27.10.23;1,60000;8,88750;7,90000;9,90000;91,87500;0,09340;2,30000;1,00000;3,52083;4,40000;79,58308;7,79167;167,00000;0,00000;993,43750;37707,50000;9,30000
28.10.23;1,50000;9,08750;7,60000;10,80000;96,00000;0,04606;4,60000;1,00000;3,51667;4,30000;112,06384;7,83333;143,00000;0,00000;996,72083;16323,33333;9,30000
29.10.23;12,30000;12,32083;9,10000;16,20000;85,29167;0,23527;5,10000;1,00000;5,85417;8,80000;178,14228;6,66667;582,00000;4,30000;992,58750;48966,66667;11,00000
30.10.23;17,20000;12,16667;10,40000;14,80000;82,45833;0,25626;2,80000;1,00000;5,17083;7,90000;193,78106;5,95833;607,00000;5,60000;997,15000;42350,00000;10,80000
31.10.23;3,50000;8,62500;3,60000;12,00000;95,37500;0,05039;13,50000;1,00000;3,65000;8,90000;238,38775;6,75000;215,00000;0,40000;995,89583;24523,75000;9,80000
01.11.23;2,70000;9,42083;5,20000;12,50000;90,79167;0,11233;0,60000;1,00000;4,17917;5,80000;136,67271;7,87500;227,00000;0,00000;999,66250;36015,00000;8,90000
02.11.23;3,30000;11,25417;8,80000;12,80000;77,12500;0,31328;0,00000;1,00000;7,27917;10,00000;145,79502;7,12500;222,00000;0,40000;983,82917;58059,58333;8,80000
03.11.23;5,30000;9,91667;8,00000;11,10000;76,37500;0,29037;0,00000;0,00000;6,46667;8,90000;191,03456;5,87500;311,00000;1,90000;981,62917;47594,16667;8,20000
